atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2007-07-10,2007-07-12,0,0.89,0.87,0.9,0.88,0.91,2492000,2220160,0.89091493,8.63834,8.44422,8.7354,8.54128,8.83246,256748,8.64722,-0.01111
2007-07-09,2007-07-11,0,0.9,0.89,0.9,0.89,0.94,2196000,1995380,0.90864299,8.7354,8.63834,8.7354,8.63834,9.12364,226252,8.81929,-0.01099
2007-07-06,2007-07-10,0,0.91,0.89,0.91,0.88,0.95,6254000,5707280,0.91258075,8.83246,8.63834,8.83246,8.54128,9.2207,644343,8.85751,0.03409
2007-07-05,2007-07-09,0,0.88,0.87,0.88,0.86,0.88,1330000,1157140,0.87003008,8.54128,8.44422,8.54128,8.34716,8.54128,137029,8.44452,0.01149
2007-07-04,2007-07-06,0,0.87,0.85,0.87,0.84,0.89,566000,487660,0.86159011,8.44422,8.2501,8.44422,8.15304,8.63834,58314,8.3626,0.02353
2007-07-03,2007-07-05,0,0.85,0.84,0.86,0.82,0.86,914000,774900,0.84781182,8.2501,8.15304,8.34716,7.95892,8.34716,94169,8.22886,-0.02299
2007-06-29,2007-07-04,0,0.87,0.86,0.87,0.86,0.87,1755672,1520611,0.86611337,8.44422,8.34716,8.44422,8.34716,8.44422,180885,8.4065,-0.01136
2007-06-28,2007-07-03,0,0.88,0.87,0.88,0.88,0.9,476000,420700,0.88382353,8.54128,8.44422,8.54128,8.54128,8.7354,49042,8.57839,0
2007-06-27,2007-06-29,0,0.88,0.87,0.88,0.86,0.89,1334000,1170820,0.87767616,8.54128,8.44422,8.54128,8.34716,8.63834,137441,8.51873,0
2007-06-26,2007-06-28,0,0.88,0.88,0.89,0.88,0.91,278000,247640,0.89079137,8.54128,8.54128,8.63834,8.54128,8.83246,28642,8.64602,-0.01124
2007-06-25,2007-06-27,0,0.89,0.88,0.89,0.88,0.93,1894000,1714280,0.90511088,8.63834,8.54128,8.63834,8.54128,9.02658,195137,8.78501,0
2007-06-22,2007-06-26,0,0.89,0.89,0.9,0.86,0.93,1171070,1042330,0.89006635,8.63834,8.63834,8.7354,8.34716,9.02658,120654,8.63899,0.02299
2007-06-21,2007-06-25,0,0.87,0.86,0.88,0.87,0.91,1748000,1542980,0.88271167,8.44422,8.34716,8.54128,8.44422,8.83246,180095,8.5676,-0.03333
2007-06-20,2007-06-22,0,0.9,0.89,0.9,0.88,0.91,1452000,1301960,0.89666667,8.7354,8.63834,8.7354,8.54128,8.83246,149598,8.70305,-0.01099
2007-06-18,2007-06-21,0,0.91,0.9,0.91,0.89,0.97,3076000,2792060,0.90769181,8.83246,8.7354,8.83246,8.63834,9.41482,316917,8.81006,-0.06186
2007-06-15,2007-06-20,0,0.97,0.95,0.97,0.92,0.97,3822000,3615840,0.94605965,9.41482,9.2207,9.41482,8.92952,9.41482,393777,9.18246,0
2007-06-14,2007-06-18,0,0.97,0.96,0.98,0.95,1.03,4492000,4427860,0.98572128,9.41482,9.31776,9.51188,9.2207,9.99718,462806,9.56741,-0.0396
2007-06-13,2007-06-15,0,1.01,1.01,1.02,1.01,1.04,3368000,3446880,1.02342043,9.80306,9.80306,9.90012,9.80306,10.09424,347002,9.93332,-0.0098
2007-06-12,2007-06-14,0,1.02,1.01,1.03,0.99,1.03,6820000,6885980,1.00967449,9.90012,9.80306,9.99718,9.60894,9.99718,702658,9.7999,0.0099
2007-06-11,2007-06-13,0,1.01,0.99,1.01,0.95,1.06,5802000,5843920,1.00722509,9.80306,9.60894,9.80306,9.2207,10.28836,597774,9.77613,-0.01942
2007-06-08,2007-06-12,0,1.03,1.02,1.03,0.92,1.08,20698000,21484300,1.03798918,9.99718,9.90012,9.99718,8.92952,10.48248,2132494,10.07473,0.07292
2007-06-07,2007-06-11,0,0.96,0.95,0.96,0.85,0.96,5708000,5168600,0.90550105,9.31776,9.2207,9.31776,8.2501,9.31776,588090,8.7888,0.09091
2007-06-06,2007-06-08,0,0.88,0.88,0.89,0.87,0.89,1072000,945520,0.88201493,8.54128,8.54128,8.63834,8.44422,8.63834,110447,8.56084,-0.01124
2007-06-05,2007-06-07,0,0.89,0.88,0.89,0.85,0.9,1662000,1453220,0.87438026,8.63834,8.54128,8.63834,8.2501,8.7354,171234,8.48674,0.01136
2007-06-04,2007-06-06,0,0.88,0.88,0.89,0.87,0.91,3506000,3123240,0.89082715,8.54128,8.54128,8.63834,8.44422,8.83246,361220,8.64637,0
2007-06-01,2007-06-05,0,0.88,0.87,0.88,0.86,0.9,1954000,1716360,0.8783828,8.54128,8.44422,8.54128,8.34716,8.7354,201319,8.52559,0.01149
2007-05-31,2007-06-04,0,0.87,0.86,0.89,0.86,0.91,2362000,2080440,0.88079594,8.44422,8.34716,8.63834,8.34716,8.83246,243355,8.54901,0.01163
2007-05-30,2007-06-01,0,0.86,0.86,0.87,0.84,0.92,7200000,6320380,0.87783056,8.34716,8.34716,8.44422,8.15304,8.92952,741809,8.52023,-0.06522
2007-05-29,2007-05-31,0,0.92,0.91,0.92,0.88,1.01,13386000,12471220,0.93166144,8.92952,8.83246,8.92952,8.54128,9.80306,1379146,9.04271,-0.06122
2007-05-28,2007-05-30,0,0.98,0.97,0.98,0.86,1.01,27656000,26300380,0.95098279,9.51188,9.41482,9.51188,8.34716,9.80306,2849370,9.23024,0.18072
2007-05-25,2007-05-29,0,0.83,0.83,0.84,0.69,0.84,14392000,11429880,0.79418288,8.05598,8.05598,8.15304,6.69714,8.15304,1482794,7.70834,0.15278
2007-05-23,2007-05-28,0,0.72,0.72,0.73,0.68,0.72,1958000,1372780,0.70111338,6.98832,6.98832,7.08538,6.60008,6.98832,201731,6.80501,0.04348
2007-05-22,2007-05-25,0,0.69,0.68,0.69,0.68,0.7,1458000,1001080,0.6866118,6.69714,6.60008,6.69714,6.60008,6.7942,150216,6.66426,0
2007-05-21,2007-05-23,0,0.69,0.68,0.69,0.68,0.69,1156000,795580,0.68821799,6.69714,6.60008,6.69714,6.60008,6.69714,119102,6.67985,0.02985
2007-05-18,2007-05-22,0,0.67,0.67,0.68,0.66,0.7,2150000,1448420,0.67368372,6.50302,6.50302,6.60008,6.40596,6.7942,221512,6.53878,-0.02899
2007-05-17,2007-05-21,0,0.69,0.68,0.69,0.68,0.7,1384000,958360,0.69245665,6.69714,6.60008,6.69714,6.60008,6.7942,142592,6.72099,0
2007-05-16,2007-05-18,0,0.69,0.69,0.7,0.66,0.7,2292000,1583820,0.69102094,6.69714,6.69714,6.7942,6.40596,6.7942,236142,6.70705,0.01471
2007-05-15,2007-05-17,0,0.68,0.67,0.69,0.66,0.7,2482000,1677420,0.675834,6.60008,6.50302,6.69714,6.40596,6.7942,255718,6.55965,-0.02857
2007-05-14,2007-05-16,0,0.7,0.7,0.71,0.69,0.73,2440000,1752440,0.71821311,6.7942,6.7942,6.89126,6.69714,7.08538,251391,6.97098,0.02941
2007-05-11,2007-05-15,0,0.68,0.68,0.69,0.68,0.71,1948000,1347520,0.69174538,6.60008,6.60008,6.69714,6.60008,6.89126,200701,6.71408,-0.02857
2007-05-10,2007-05-14,0,0.7,0.7,0.71,0.68,0.71,6438000,4489840,0.69739671,6.7942,6.7942,6.89126,6.60008,6.89126,663301,6.76894,0.04478
2007-05-09,2007-05-11,0,0.67,0.67,0.69,0.67,0.7,6958000,4767480,0.68517965,6.50302,6.50302,6.69714,6.50302,6.7942,716876,6.65036,0.01515
2007-05-08,2007-05-10,0,0.66,0.66,0.68,0.61,0.68,5238000,3468380,0.66215731,6.40596,6.40596,6.60008,5.92066,6.60008,539666,6.4269,0.04762
2007-05-07,2007-05-09,0,0.63,0.61,0.63,0.61,0.63,690000,425620,0.61684058,6.11478,5.92066,6.11478,5.92066,6.11478,71090,5.98706,0.03279
2007-05-04,2007-05-08,0,0.61,0.61,0.62,0.61,0.62,1152000,709700,0.61605903,5.92066,5.92066,6.01772,5.92066,6.01772,118689,5.97947,-0.01613
2007-05-03,2007-05-07,0,0.62,0.61,0.62,0.61,0.62,478000,294500,0.61610879,6.01772,5.92066,6.01772,5.92066,6.01772,49248,5.97995,0
2007-05-02,2007-05-04,0,0.62,0.62,0.63,0.61,0.62,534000,330580,0.61906367,6.01772,6.01772,6.11478,5.92066,6.01772,55017,6.00863,0
2007-04-30,2007-05-03,0,0.62,0.61,0.62,0.61,0.62,228000,139600,0.6122807,6.01772,5.92066,6.01772,5.92066,6.01772,23491,5.9428,-0.01587
2007-04-27,2007-05-02,0,0.63,0.62,0.63,0.62,0.63,248000,153840,0.62032258,6.11478,6.01772,6.11478,6.01772,6.11478,25551,6.02085,0
2007-04-26,2007-04-30,0,0.63,0.62,0.64,0.62,0.64,382000,241260,0.63157068,6.11478,6.01772,6.21184,6.01772,6.21184,39357,6.13003,0
2007-04-25,2007-04-27,0,0.63,0.62,0.63,0.62,0.63,530000,331800,0.62603774,6.11478,6.01772,6.11478,6.01772,6.11478,54605,6.07632,0
2007-04-24,2007-04-26,0,0.63,0.63,0.64,0.63,0.64,280000,176900,0.63178571,6.11478,6.11478,6.21184,6.11478,6.21184,28848,6.13211,0
2007-04-23,2007-04-25,0,0.63,0.63,0.65,0.63,0.64,730000,461760,0.63254795,6.11478,6.11478,6.3089,6.11478,6.21184,75211,6.13951,0
2007-04-20,2007-04-24,0,0.63,0.63,0.64,0.63,0.64,390000,249320,0.63928205,6.11478,6.11478,6.21184,6.11478,6.21184,40181,6.20487,-0.01562
2007-04-19,2007-04-23,0,0.64,0.63,0.64,0.63,0.65,370000,233660,0.63151351,6.21184,6.11478,6.21184,6.11478,6.3089,38121,6.12947,0
2007-04-18,2007-04-20,0,0.64,0.63,0.64,0.63,0.64,850000,543940,0.63992941,6.21184,6.11478,6.21184,6.11478,6.21184,87575,6.21116,0
2007-04-17,2007-04-19,0,0.64,0.64,0.65,0.62,0.66,1256956,805973,0.64121019,6.21184,6.21184,6.3089,6.01772,6.40596,129503,6.22359,-0.01538
2007-04-16,2007-04-18,0,0.65,0.65,0.66,0.64,0.65,1214000,786220,0.64762768,6.3089,6.3089,6.40596,6.21184,6.3089,125077,6.28588,0
2007-04-13,2007-04-17,0,0.65,0.64,0.65,0.64,0.66,378000,246440,0.65195767,6.3089,6.21184,6.3089,6.21184,6.40596,38945,6.3279,0
2007-04-12,2007-04-16,0,0.65,0.64,0.65,0.64,0.66,1268000,832180,0.65629338,6.3089,6.21184,6.3089,6.21184,6.40596,130641,6.36999,-0.02985
2007-04-11,2007-04-13,0,0.67,0.63,0.67,0.62,0.68,1802000,1147580,0.63683685,6.50302,6.11478,6.50302,6.01772,6.60008,185658,6.18114,0.08065
2007-04-10,2007-04-12,0,0.62,0.62,0.63,0.62,0.63,754000,470600,0.62413793,6.01772,6.01772,6.11478,6.01772,6.11478,77684,6.05789,-0.01587
2007-04-04,2007-04-11,0,0.63,0.63,0.64,0.63,0.64,398000,250940,0.63050251,6.11478,6.11478,6.21184,6.11478,6.21184,41006,6.11966,-0.01562
2007-04-03,2007-04-10,0,0.64,0.63,0.64,0.63,0.64,490000,312900,0.63857143,6.21184,6.11478,6.21184,6.11478,6.21184,50484,6.19798,0
